Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle
EV133,10/02/2020,,52.69,,,9.68,,,,85.53,55.175000000000004,,,,
EV133,10/03/2020,,0.02,,,23.96,,,,0.23,54.14,,,,
EV133,10/04/2020,,,,,,,,,,52.97,,,,
EV133,10/05/2020,,9.81,,,13.98,,,,19.24,51.754999999999995,,,,
EV133,10/06/2020,,105.15,,,13.37,,,,167.45,53.78,,,,
EV133,10/07/2020,,60.39,,,10.45,,,,114.93,56.480000000000004,,,,
EV133,10/08/2020,,42.97,,,5.31,,,,64.7,52.565,,,,
EV133,10/09/2020,,84.79,,,10.77,,,,140.04,51.71,,,,
EV133,10/10/2020,,0.32,,,1.47,,,,3.17,44.06,,,,
EV133,10/12/2020,,85.05,,,15.88,,,,176.73,39.019999999999996,,,,
EV133,10/13/2020,,108.83,,,21.29,,,,245.3,36.635,,,,
EV133,10/14/2020,,111.48,,,17.31,,,,224.27,35.285,,,,
EV133,10/15/2020,,109.78,,,22.07,,,,213.82,33.44,,,,
EV133,10/16/2020,,83.62,,,18.35,,,,181.09,39.155,,,,
EV133,10/17/2020,,,,,,,,,,39.155,,,,
EV133,10/18/2020,,,,,,,,,,34.025,,,,
EV133,10/19/2020,,74.38,,,22.72,,,,112.84,37.985,,,,
EV133,10/20/2020,,114.77,,,21.16,,,,219.47,36.095,,,,
EV133,10/21/2020,,101.88,,,21.07,,,,258.43,31.505,,,,
EV133,10/22/2020,,65.94,,,22.33,,,,202.16,24.68,,,,
EV133,10/23/2020,,89.95,,,23.52,,,,276.14,23.299999999999997,,,,
EV133,10/24/2020,,,,,,,,,,17.419999999999998,,,,
EV133,10/25/2020,,,,,,,,,,8.18,,,,
EV133,10/26/2020,,109.2,,,21.94,,,,391.28,9.86,,,,
EV133,10/27/2020,,85.16,,,22.66,,,,259.07,24.439999999999998,,,,
EV133,10/28/2020,,85.84,,,17.48,,,,234.21,30.080000000000002,,,,
EV133,10/29/2020,,84.75,,,17.63,,,,210.32,35.06,,,,
EV133,10/30/2020,,106.08,,,23.64,,,,275.18,35.3,,,,
EV133,10/31/2020,,0.36,,,11.45,,,,2.68,35.480000000000004,,,,
EV133,11/02/2020,,65.26,,,17.39,,,,186.31,38.72,,,,
EV133,11/03/2020,,139.73,,,23.36,,,,293.86,39.62,,,,
EV133,11/04/2020,,104.34,,,23.92,,,,192.2,42.8,,,,
EV133,11/05/2020,,104.43,,,23.25,,,,193.28,48.2,,,,
EV133,11/06/2020,,107.15,,,23.2,,,,188.76,44.06,,,,
EV133,11/07/2020,,3.68,,,11.84,,,,9.91,36.98,,,,
EV133,11/09/2020,,85.02,,,15.29,,,,293.5,16.76,,,,
EV133,11/10/2020,,105.63,,,22.34,,,,324.74,22.34,,,,
EV133,11/11/2020,,,,,,,,,,24.68,,,,
EV133,11/12/2020,,87.05,,,21.62,,,,242,22.82,,,,
EV133,11/13/2020,,63.32,,,22.76,,,,199.11,25.04,,,,
EV133,11/14/2020,,,,,,,,,,29.24,,,,
EV133,11/15/2020,,0,,,23.93,,,,3.27,31.82,,,,
EV133,11/16/2020,,81.36,,,18.99,,,,270.34,33.980000000000004,,,,
EV133,11/17/2020,,84.73,,,15.95,,,,211.53,35.54,,,,
EV133,11/18/2020,,80.96,,,23.52,,,,172.13,37.879999999999995,,,,
EV133,11/19/2020,,84.81,,,22.4,,,,228.03,32.18,,,,
EV133,11/20/2020,,119.47,,,23.26,,,,288.93,29.3,,,,
EV133,11/21/2020,,,,,,,,,,25.4,,,,
EV133,11/22/2020,,,,,,,,,,24.5,,,,
EV133,11/23/2020,,58.2,,,21.71,,,,160.92,24.8,,,,
EV133,11/24/2020,,102.63,,,21.1,,,,237.73,28.58,,,,
EV133,11/25/2020,,109.01,,,23.23,,,,263.92,28.52,,,,
EV133,11/26/2020,,,,,,,,,,29.479999999999997,,,,
EV133,11/27/2020,,105.33,,,23.84,,,,279.19,29.18,,,,
EV133,11/28/2020,,,,,,,,,,27.02,,,,
EV133,11/29/2020,,,,,,,,,,26.36,,,,
EV133,11/30/2020,,65.24,,,9.89,,,,218.46,24.92,,,,
EV133,12/07/2020,,0,,,0.53,,,,1.75,25.22,,,,
EV133,12/08/2020,,65.67,,,11.87,,,,128.91,32,,,,
EV133,12/09/2020,,122.99,,,22.55,,,,286.29,33.32,,,,
EV133,12/10/2020,,84.96,,,21.75,,,,188.72,29.54,,,,
EV133,12/11/2020,,89.21,,,22.93,,,,289.59,21.26,,,,
EV133,12/12/2020,,0.76,,,14.49,,,,12.8,21.68,,,,
EV133,12/14/2020,,84.54,,,14.65,,,,288.44,24.259999999999998,,,,
EV133,12/15/2020,,73.41,,,13.11,,,,217.8,25.4,,,,
EV133,12/16/2020,,85.2,,,17.75,,,,277.24,29.9,,,,
EV133,12/17/2020,,0.25,,,10.95,,,,2.72,31.82,,,,
EV133,12/18/2020,,85.33,,,22.33,,,,217.56,30.98,,,,
