Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Max SOC,Min SOC,Percent Idling Time,Drive Cycle,Average Speed,Maximum Speed
EV203,09/07/2022,,31.6,,,,,,,54.84,,,,,,,,,
EV203,09/08/2022,,111.3,,,,,39,,212.61,,,,39,39,,,,
EV203,09/09/2022,,67.1,,,21.0666666666667,38.98,61,,243,63.55,,,100,37.97,,,12.67,47.7
EV203,09/12/2022,,65.3,,,15.1,100,44,56,236,82.63,,,100,43.72,,,12.76,41.5
EV203,09/13/2022,,52.8,,,,,,,,,,,,,,,,
EV203,09/25/2022,,0,,,,,,,0.15,,,,,,,,,
EV203,09/28/2022,,10.2,,,,,,,16.77,,,,,,,,,
EV203,09/29/2022,,105.4,,,14.5166666666667,97.62,52,45.62,163.4,78.52,,,97.62,51.23,,,12.41,41
EV203,09/30/2022,,104.8,,,,,47,,191.05,,,,47,47,,,,
EV203,10/01/2022,,96.5,,,,,57,,55.98,,,,57,57,,,,
EV203,10/02/2022,,71.3,,,10.8833333333333,100,72,28,,68.05,,,100,72,,,12.02,36.3
EV203,10/03/2022,,46.7,,,,,,,78.1,,,,,,,,,
EV203,10/04/2022,,100.9,,,,,58,,160.86,,,,58,58,,,,
EV203,10/05/2022,,2.2,,,0.116666666666667,58.12,58,0.119999999999997,1.99,60.2,,,58.13,57.64,,,22.45,41.9
